split,image,fraction,n_cells,n_genes,mean_per_gene_pcc,median_per_gene_pcc,mean_per_gene_spearman,median_per_gene_spearman,mae,rmse,mean_per_gene_mae,mean_per_gene_rmse
val,UC7,0.2,28941,460,0.275301099443669,0.24384502414120263,0.20588099216287745,0.17961337949246273,0.3096573054790497,0.9481773376464844,0.3096572756767273,0.9434482455253601
test,UC1,0.1,20253,460,0.2219585618143456,0.20113581120367063,0.17378784733233915,0.15497064943881023,0.3434191346168518,0.9684327244758606,0.3434191644191742,0.9661524891853333
