gene_idx,pcc,spearman,mae,rmse
0,0.4474285783367103,0.4199396798729879,0.7629958,0.91601
1,0.15405471622419875,0.1506205001020629,0.3911622,0.9589396
2,0.7470235868727104,0.6257045842342285,0.50996876,0.7805926
3,0.40330134000791745,0.3741671217822981,0.5504432,0.9410625
4,0.2520367195025832,0.1666557159592536,0.2841396,0.9370603
5,0.2679075144330126,0.2390408186221586,0.68603504,0.96673286
6,0.37625161336985824,0.34662635593004026,0.5832089,0.9228296
7,0.15996026790747794,0.11936790204579302,0.25212583,0.97387
8,0.23693579942010345,0.257064692665977,0.82817274,1.0020807
9,0.3706600675625253,0.27730602603372345,0.5110989,0.9460401
10,-0.0020547881390499205,-0.0030784486661296936,0.047339987,0.7403653
11,0.2927492132710179,0.24512036834583414,0.5724656,0.9689229
12,0.13627810533528883,0.05312252434763752,0.102426074,1.0771878
13,0.11667145399413771,0.11776937138501338,0.5241227,0.98743904
14,0.048732707055803307,0.06045503592823396,0.30843326,1.0149165
15,0.21153803005228958,0.22399687064370044,0.58234805,0.9998519
16,0.1935157667486524,0.15910184274180109,0.24616319,0.98214906
17,0.028603498129157953,0.029396170626254603,0.105214134,1.0082327
18,0.37358016243325504,0.16714324728137153,0.21647426,0.9437145
19,0.19535237609150174,0.13016314520689848,0.21698098,0.95802003
20,0.341446273522587,0.3455927819709727,0.5785837,0.94460195
21,0.207057540324356,0.09025575919043567,0.16827004,0.96070766
22,0.2890707971566474,0.25111428200536545,0.5976341,0.9975543
23,0.13135445069258844,0.1259838451839029,0.43131432,1.0227662
24,0.325100651503158,0.22405859336516276,0.5785129,0.9591769
25,0.4409594946201921,0.31974548372578065,0.44551903,0.9075389
26,-0.002585486185688609,0.009144319815256093,0.15271279,1.1113756
27,0.48511812112678276,0.23694907842366492,0.23257582,0.91528875
28,0.24146403092685767,0.11599823538783029,0.21242458,0.9582567
29,0.016175064690716747,-0.00409126073278388,0.054756653,0.7815526
30,0.16162709665180017,0.15430363550980794,0.43049926,1.0049591
31,0.10544642738188223,0.03097188748112787,0.1480175,1.0305473
32,0.013644851858850376,0.021801355946096574,0.10005627,1.0215297
33,0.01939474799352268,0.03447120310701564,0.14626469,1.0823535
34,0.3427528504747751,0.3351608363374989,0.6682811,0.9943467
35,0.2537030037744473,0.24471766444667808,0.5839499,0.9728506
36,0.0039753588668729415,0.009276905774449867,0.055569213,0.93581337
37,0.008560615582230032,0.01070322611046876,0.05305866,0.87777567
38,0.19753897235404985,0.1314496897069986,0.34616607,0.9671951
39,0.06921723164721996,0.09968011955910738,0.256498,1.005186
40,0.11248327156072177,0.11038451871782917,0.26395828,1.026473
41,0.1539935578621532,0.15801885009375963,0.70945776,0.99180734
42,0.17572517131158244,0.1120503026685894,0.26519525,0.9889005
43,0.00994014060485311,0.02379439125323459,0.109013066,1.1574869
44,0.08005066074983098,0.054968971643766816,0.14394307,1.0281687
45,0.04458909143820624,0.03890216353381274,0.105062574,0.873144
46,0.07745767072438786,0.09186817958976945,0.2581926,0.98700917
47,0.1542126106430533,0.16689378625377474,0.3904664,0.9946301
48,0.3654567486338624,0.3002318557052036,0.40497276,0.9204378
49,0.03006015451726995,0.014521961927713623,0.22009319,0.968788
50,0.09093648233222923,0.08227591568419794,0.30077186,1.0124663
51,0.20248490485724055,0.12369645569721086,0.26629534,1.029691
52,0.24607719926098692,0.2588623948525631,0.5853243,0.96818376
53,0.2993718489903235,0.27209874096085657,0.49390918,0.95587707
54,0.024489699397450326,0.01713090480912103,0.07273763,0.91720694
55,0.21374579312714273,0.1803230226203828,0.22319005,0.99231213
56,0.24034925657989464,0.20779833309332335,0.33879027,0.9180977
57,0.06559610948255368,0.06665028930997831,0.14961217,0.96552175
58,0.23848936546720728,0.16244637921804533,0.24909776,0.9921976
59,0.0695377970456495,0.04734101558471063,0.07625585,0.90585953
60,0.30878317452052045,0.3124940103372003,0.74543583,1.0097829
61,0.199689420837436,0.1258932677451897,0.34734803,1.0050806
62,0.18036120699642216,0.14998406880852586,0.23204084,0.9919318
63,0.01954577291191254,0.020645283959011808,0.10960687,0.97401977
64,0.33678697829203225,0.27591223476465926,0.3089891,0.944164
65,0.19430828918710033,0.19309697791127,0.51109934,1.0344735
66,0.1596439619035429,0.11073667119645689,0.22238517,0.97873795
67,0.41612616025806,0.32898338892636253,0.3370011,0.9160836
68,0.33178633747115605,0.31931713160839365,0.38909274,0.93256277
69,0.18252056177461382,0.17249665624048385,0.42075625,0.9764149
70,0.17945238040104425,0.16978553252300516,0.40013665,1.0106237
71,0.5332839847718384,0.4661751543809467,0.57264763,0.8519762
72,0.3933514038697067,0.32268241570172457,0.33540735,0.94058245
73,0.42192105310247213,0.350429988174712,0.3389436,0.97166526
74,0.16579381767120427,0.18360216333506962,0.40269196,0.9719224
75,0.17546198658442502,0.1380378905164909,0.18592766,0.97335756
76,0.2674230598403257,0.21049694351392922,0.24961776,0.97769904
77,0.22941332947598025,0.278257608409258,0.7634633,0.9876275
78,0.3160611057659146,0.25394839994284,0.27673098,0.96958065
79,0.28352711637482375,0.2446551708655283,0.5621812,0.9711908
80,0.38859801811917516,0.33501345381018294,0.38235533,0.93259144
81,0.04825125836650047,0.03227814126513896,0.09174941,1.0734122
82,0.44799139017282885,0.3964969950604317,0.4426987,0.8914678
83,0.07800725449696465,0.08649478391456082,0.21119887,1.0076576
84,0.1301544099279627,0.13247164617028687,0.32146695,0.9868865
85,0.3498949501538614,0.2683652295927954,0.3267289,0.9473394
86,0.2161978481123515,0.17982724523869625,0.2310974,1.0092375
87,0.22992476608025786,0.24466948317242398,0.59424675,1.0060612
88,0.22732063031931804,0.14012955836037705,0.2228475,0.98018026
89,0.4024532119829659,0.15350918542089043,0.2125316,0.96234804
90,0.4527043005342976,0.190657908215831,0.23212735,0.9058695
91,0.1916105230643528,0.12277097090876432,0.22512476,0.9919314
92,0.0725116643219569,0.05561760897110307,0.15081161,0.93287444
93,0.10639104083653637,0.0874018050099973,0.1869006,0.9498421
94,0.4995410258227393,0.294663716073025,0.3162179,0.8706457
95,0.10446829416065603,0.03507391700303787,0.16078088,0.933863
96,0.32550618458035707,0.3289560516579452,0.6977731,0.94652045
97,0.20661838792859857,0.18645927434082338,0.51449144,1.0591164
98,0.23552624682992906,0.11529974227648779,0.22056867,0.9976317
99,0.5027083248197308,0.2068866085066412,0.18151578,0.9517294
100,0.0018590696984381895,-0.0001217302557330937,0.04999075,1.2382395
101,0.18857940924373326,0.03871455537654604,0.09265487,0.976154
102,0.1111538703609308,0.05965391703055196,0.3137237,1.0424877
103,0.02280496862503345,0.019713693484661225,0.08363628,1.1934547
104,0.279740363007073,0.11275994549552262,0.22008854,0.9274104
105,0.27071054033214054,0.22103963996371073,0.50074977,0.9775318
106,0.039933110187903686,0.027922448481586436,0.0989151,0.8217917
107,0.16077280457973817,0.12160711035124279,0.22330464,0.9263539
108,0.10957712727585621,0.13716934380511925,0.4271684,1.0002162
109,0.23728641883682275,0.20368720892136524,0.53825796,1.0149837
110,0.45059691096900795,0.44549498488561906,0.75972414,0.9774392
111,0.3704211539296931,0.3309853205862051,0.75275683,0.9626801
112,0.2968186132355513,0.319892427125646,0.4419045,0.9592446
113,0.08344665643640346,0.05532404265410996,0.14119804,1.0340624
114,0.09950529075945783,0.08086729867203096,0.13723919,0.98728114
115,0.21522460562001075,0.19245116773654442,0.47423747,1.0262455
116,0.15410354705309667,0.09727692842730866,0.28612968,0.9988561
117,0.2223780500850309,0.27980195253677176,0.48340625,0.98227984
118,0.09711633519112244,0.0880067047115271,0.23652548,0.9800782
119,0.28819453294670283,0.23701038568021696,0.30503926,0.96746093
120,0.2929987143118789,0.25952766048457176,0.5678757,0.98346484
121,0.060025652937987395,0.07996827551844674,0.44169974,1.0178409
122,0.050565200898341614,0.046163044000359144,0.21704982,0.9944647
123,0.3561192906705635,0.30348079040801684,0.62921005,0.9622265
124,0.04357302152763954,0.043103155057938033,0.1931266,1.0478725
125,0.39768218496578,0.2851522052072226,0.52762294,0.93708384
126,0.49912312735227743,0.2631598897227247,0.37498924,0.8868929
127,0.09670683970663914,0.07572946240367584,0.2095844,0.95336634
128,0.17009200110204495,0.1626833693656529,0.3581708,0.97855526
129,0.26711022153544894,0.19142522587299962,0.34035867,0.92934763
130,0.21880932226082297,0.18984466323625845,0.3496388,0.9794519
131,0.05796763161820644,0.06314292678888694,0.11506216,0.9607638
132,0.40020025471817167,0.4007198521192474,0.54737264,0.9290375
133,0.12880577361684226,0.06568811254311718,0.119026445,0.9370418
134,0.3172981139993166,0.2576481143355432,0.3739792,0.94825226
135,0.2359809226772483,0.24420270870836025,0.59779644,0.9818943
136,0.42140353758007787,0.32139108648747033,0.5884707,0.9249913
137,0.19768766500617735,0.06839256945813975,0.1604765,1.010627
138,0.30533828427951465,0.2185726839037114,0.33947474,0.9419757
139,0.815136310121391,0.6803144087792511,0.524213,0.7864099
140,0.6047666234345368,0.2982712060759108,0.28359503,0.8505256
141,0.16490763168302866,0.1048605743009539,0.29283217,0.988947
142,0.1567512436525999,0.16836750680171286,0.46523806,0.9770393
143,0.38510102895231546,0.24417449231322716,0.37994134,0.9279069
144,0.5802428977914537,0.27429039896329915,0.29839772,0.8033129
145,0.5215016088451296,0.24482286741400613,0.23307335,0.8778456
146,0.05334085309337826,0.04326293860938243,0.1167414,0.91046786
147,0.02914860294732318,0.024840988005441263,0.09021863,1.2010984
148,0.174396047617926,0.1732734828903535,0.7449454,1.000926
149,0.08643790634536927,0.1264078504540186,0.724751,1.0087799
150,0.7018730946575732,0.3431941860448545,0.2931117,0.7644613
151,0.06798923874189038,0.07911953521947467,0.37528694,1.0049148
152,0.4208300992076654,0.37238364066406743,0.49107975,0.93242913
153,0.17711213134071793,0.07829188233438618,0.21345289,0.9746139
154,0.2250311719039149,0.20119609775638755,0.48959506,0.9978276
155,0.2453649654716348,0.1757069833949001,0.2878171,0.98850274
156,0.024432631642457247,0.029110629504249377,0.15120116,0.8726215
157,0.4042631432956395,0.4380220514249447,0.78220683,0.9289138
158,0.09015530850378593,0.06564637454263378,0.14214805,0.960782
159,0.17342439282699929,0.19424794979082835,0.5798658,0.9967491
160,0.1710799326855416,0.16928517774936144,0.40338612,1.0092295
161,0.28530992877869604,0.21890843407002453,0.47570494,0.97255677
162,0.037087636966301255,0.034579941584533286,0.09361191,0.9719448
163,0.20517436705481742,0.08529668769735665,0.11930956,1.029327
164,0.173516834092999,0.11032404799519883,0.23205848,0.98876417
165,0.1792458630760267,0.15103897389671275,0.34641927,1.039921
166,0.07702677266052235,0.10470179361830201,0.664383,1.0773355
167,0.06992343066525102,0.06295179642711426,0.12334208,1.0429693
168,0.08338941379070182,0.0361626503351419,0.2483127,1.0141835
169,0.1795670294905404,0.155250057936934,0.43667316,0.97406465
170,0.1699875303699239,0.13896966205736672,0.17527714,0.94879204
