gene_idx,pcc,spearman,mae,rmse
0,0.4496631483958717,0.41791798392211016,0.7656489,0.9123312
1,0.1777454424751606,0.16153258798430406,0.4029212,0.99120516
2,0.734098949687234,0.6134351124302064,0.52074975,0.80041516
3,0.3926216866549443,0.3688392539434245,0.54895604,0.9385197
4,0.2647903212580965,0.16608990395051818,0.29444212,0.9815939
5,0.2798923224690176,0.24870466921500678,0.68169177,0.9603315
6,0.387481560258247,0.3420497407688371,0.58660233,0.92338884
7,0.16099285100753122,0.12829608180467963,0.24978022,1.0121355
8,0.24221696240657084,0.25876755390292405,0.8235545,0.99269176
9,0.3874602868736956,0.27852744683025,0.5141815,0.9449736
10,,,0.03635605,0.070034735
11,0.30308580534336355,0.24621533452481612,0.5590317,0.9532774
12,0.0942030173087958,0.05519140082301561,0.08866928,0.97535425
13,0.10263907364620609,0.11320806117816892,0.53225064,1.0216317
14,0.05415808880305021,0.0656111028040987,0.29667035,0.99929154
15,0.2075415216123958,0.21989700349168328,0.58263075,0.9977853
16,0.24043999646992306,0.17351311989786883,0.25221702,1.0208486
17,0.043406482357680264,0.03765146678976996,0.10865474,0.9417773
18,0.3626473735368702,0.16257471328629858,0.2206434,0.9781765
19,0.1820236817014622,0.11849854328219708,0.22860521,0.9988441
20,0.34033516169129835,0.3378733334198015,0.5740155,0.9497342
21,0.2542579454397312,0.09956523165301716,0.18192878,1.0118138
22,0.2909962195776453,0.24408117896636922,0.5774863,0.96651256
23,0.11132842523301015,0.12463631137902889,0.42781973,1.03359
24,0.3240328191744822,0.22639522597139364,0.56442064,0.94653577
25,0.4428839294381573,0.32038303199846346,0.43047968,0.8988106
26,0.04772659053946892,0.006276840024102318,0.13983387,0.91045785
27,0.47743922305414166,0.23561195894373116,0.2342437,0.9170945
28,0.24757852294990831,0.12444400793339094,0.22295079,0.9612761
29,0.023014208056376374,0.011596528590412604,0.06431472,0.8647925
30,0.18162565882987208,0.15469879623592034,0.4261786,0.9927613
31,0.07446207558194885,0.03479983478533223,0.15478171,1.0758482
32,0.053079802153308056,0.02067245883228161,0.10019673,1.0320566
33,0.03477999408553801,0.042403898423480364,0.1345347,0.99657327
34,0.3511524453787016,0.3325761364058525,0.66677177,0.98733264
35,0.2583688117153249,0.2555075387978909,0.5778573,0.96262205
36,0.005993025397535118,0.010750695272919431,0.061223377,1.1469219
37,0.02473255253951998,0.015127652215693848,0.052547704,0.99654436
38,0.21075301778472144,0.14380728958961034,0.34604368,0.9576242
39,0.08907506617700041,0.08927268391995934,0.24333008,0.9907324
40,0.11961000586217896,0.11283024533682491,0.25820085,1.0121801
41,0.15192437341230572,0.16899910660149844,0.71746117,0.9979939
42,0.15907939855876205,0.11635202588704996,0.26757637,0.9902838
43,0.009905652253617846,0.009343241575235065,0.1028951,0.9830987
44,0.05536444519413017,0.05772678990837017,0.116276525,0.8819845
45,0.07340853377320862,0.04929647751893071,0.11079755,1.0274042
46,0.09669933336833308,0.10597442192563136,0.2616644,0.9899297
47,0.16940030193764,0.16982494001144177,0.3919168,0.9778036
48,0.3605290417004917,0.30567285984716325,0.4273453,0.9581914
49,0.02874716308405609,0.028546899479836355,0.21960865,0.96257514
50,0.07318072913492484,0.08688113793164047,0.3073896,1.0153862
51,0.20242177832129502,0.11006627159338503,0.24358098,0.98128265
52,0.23814207088393094,0.2556272876737901,0.5813735,0.9570553
53,0.28551387289146246,0.2681558462531967,0.49128094,0.9588671
