split,image,fraction,n_cells,n_genes,mean_per_gene_pcc,median_per_gene_pcc,mean_per_gene_spearman,median_per_gene_spearman,mae,rmse,mean_per_gene_mae,mean_per_gene_rmse
val,UC7,0.2,28941,460,0.27272177152007976,0.2434800518555796,0.20477932345110536,0.17778766790782707,0.3112627863883972,0.9499775171279907,0.3112628161907196,0.9463184475898743
test,UC1,0.1,20253,460,0.2241195515360884,0.20413839992488336,0.17620400548891316,0.15968697783481248,0.34426048398017883,0.9762163758277893,0.3442605137825012,0.9729273319244385
