,precision,recall,f1-score,support
B_Cells,0.49586407332886207,0.7608919382504288,0.6004331348132106,2915.0
Endothelial_Cells,0.45859262805169937,0.6315095583388266,0.5313366611203549,1517.0
Epithelial_Cells,0.8453177257525084,0.8884007029876977,0.8663239074550129,1138.0
Fibroblasts,0.4907904834996163,0.48100789770590446,0.48584995251661917,2659.0
Glia_Cells,0.4044943820224719,0.289738430583501,0.3376318874560375,497.0
Lymphatic_Endothelial_Cells,0.22727272727272727,0.15527950310559005,0.18450184501845018,161.0
Myeloid_Cells,0.6483679525222552,0.38646915763873535,0.48427760077573073,4523.0
T_Cells,0.5785900783289817,0.4730999146029035,0.5205543810194972,2342.0
Vascular_Smooth_Muscle,0.8632585203657522,0.9229060208842479,0.8920863309352518,4501.0
accuracy,0.6243519478595764,0.6243519478595764,0.6243519478595764,0.6243519478595764
macro avg,0.5569498412383194,0.5543670137886484,0.5447773001233517,20253.0
weighted avg,0.6329378209582214,0.6243519478595764,0.6150380833770338,20253.0
