split,image,fraction,n_cells,n_genes,mean_per_gene_pcc,median_per_gene_pcc,mean_per_gene_spearman,median_per_gene_spearman,mae,rmse,mean_per_gene_mae,mean_per_gene_rmse
val,UC7,0.2,28941,460,0.2762451731150308,0.24563536595926166,0.2061588501073897,0.1790993336684498,0.3105749785900116,0.9573982357978821,0.310575008392334,0.9520820379257202
test,UC1,0.1,20253,460,0.2223281795473473,0.1967811352134971,0.1744916948140074,0.1581100435841405,0.3443661630153656,0.9763109683990479,0.344366192817688,0.9733410477638245
